Hole,Mens Par,Womens Par,Men's Hdcp,Women's Hdcp,Tee,Black,Blue,White,Green,Gold
1,5,5,7,3,,525,495,470,450,430
2,4,4,15,13,,305,290,280,245,240
3,4,4,3,7,,440,420,400,360,310
4,5,5,5,1,,530,505,490,460,415
5,4,4,13,11,,320,305,295,275,250
6,3,3,17,17,,180,155,135,110,90
7,4,4,9,9,,375,325,305,300,260
8,4,4,1,5,,465,430,410,380,335
9,3,3,11,15,,230,200,180,160,140
10,3,3,16,16,,205,180,160,140,120
11,4,4,4,10,,450,430,410,380,325
12,5,5,8,4,,555,530,505,475,395
13,4,4,2,6,,465,430,405,395,350
14,4,4,12,8,,440,400,385,365,330
15,4,4,10,12,,385,375,370,350,295
16,5,5,6,2,,525,510,490,455,410
17,3,3,18,18,,210,190,165,145,100
18,4,4,14,14,,360,320,295,270,240
